,name,gene_reaction_rule,subunit_num,subunit_mw
RPE,Ribulose 5-phosphate 3-epimerase,b3386,1,24.553964599999993
TALA_num1,Transaldolase,b0008,2,35.218810700000034
TALA_num2,Transaldolase,b2464,1 ,35.65836250000007
TKT1_num1,Transketolase,b2935,2,72.21090490000037
TKT1_num2,Transketolase,b2465,1 ,73.04182930000033
G6PDA,Glucosamine-6-phosphate deaminase,b0678,6,29.773869800000014
ALCD2x_num1,Alcohol dehydrogenase (ethanol),b1241,40,96.12608940000067
ALCD2x_num2,Alcohol dehydrogenase (ethanol),b1478,4 ,35.37917940000002
ALDD2y_num1,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b0493,1,29.409843300000006
ALDD2y_num2,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3011,2,42.09649830000004
ALDD2y_num3,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3588,4,56.30569130000003
ALDD2y_num4,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3003,1,31.487580300000005
ALDD2y_num5,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b4269,1 ,36.50144000000006
RMI,L-rhamnose isomerase,b3903,4,47.19887510000009
FMNAT,FMN adenylyltransferase,b0025,1,34.7338411
NADDP_num1,NAD diphosphatase,b3996,2,29.688606300000036
NADDP_num2,NAD diphosphatase,b2411,1 ,73.6051715000004
NMNAT_num1,Nicotinamide-nucleotide adenylyltransferase,b4390,4,47.34525790000005
NMNAT_num2,Nicotinamide-nucleotide adenylyltransferase,b0639,1 ,24.52763980000001
HMPK1_num1,Hydroxymethylpyrimidine kinase (ATP),b2103,4,28.633281500000013
HMPK1_num2,Hydroxymethylpyrimidine kinase (ATP),b2418,2 ,30.847016200000027
NDPK6_num1,Nucleoside-diphosphate kinase (ATP:dUDP),b0474,1,23.585735300000007
NDPK6_num2,Nucleoside-diphosphate kinase (ATP:dUDP),b2518,4 ,15.46325559999998
NDPK8_num1,Nucleoside-diphosphate kinase (ATP:dADP),b0474,1,23.585735300000007
NDPK8_num2,Nucleoside-diphosphate kinase (ATP:dADP),b2518,4 ,15.46325559999998
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),b3831,6,27.1587802
DURIPP_num1,Deoxyuridine phosphorylase,b4382,2,47.20660120000011
DURIPP_num2,Deoxyuridine phosphorylase,b4384,6 ,25.94964089999999
PTRCTA,Putrescine Transaminase,b3073,2,49.66081040000007
CYSDS_num1,Cysteine Desulfhydrase,b3008,4,43.211873800000056
CYSDS_num2,Cysteine Desulfhydrase,b3708,4 ,52.772859400000044
TRPAS2,Tryptophanase (L-tryptophan),b3708,4,52.772859400000044
NDP3_num1,Nucleoside diphosphatase  GDP ,b1134,1,17.432713799999988
NDP3_num2,Nucleoside diphosphatase  GDP ,b3614,1 ,35.352314100000015
CDPPH,CDP phosphohydrolase,b3614,1,35.352314100000015
NDP7,Nucleoside diphosphatase  UDP ,b3614,1,35.352314100000015
PMDPHT_num1,Pyrimidine phosphatase,b0844,1,30.195845700000007
PMDPHT_num2,Pyrimidine phosphatase,b3812,1 ,27.121509300000007
ILETA,Isoleucine transaminase,b3770,6,34.09324390000002
VALTA,Valine transaminase,b3770,6,34.09324390000002
ORPT,Orotate phosphoribosyltransferase,b3642,2,23.566706100000005
RBFSa,Riboflavin synthase,b0415,60,16.15630269999999
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",b3771,2,65.53087410000029
G1PP_num1,Glucose-1-phosphatase,b3885,1,22.731521300000004
G1PP_num2,Glucose-1-phosphatase,b2293,1,23.00723959999999
G1PP_num3,Glucose-1-phosphatase,b3697,1 ,29.720789200000006
PFL_num1,Pyruvate formate lyase,( b3951 and b3952 ),( 1 and 1 ),( 85.95873320000048 and 32.42931190000004 )
PFL_num2,Pyruvate formate lyase,( b0902 and b0903 ),( 1 and 2 ),28.20398930000002 and 85.35624120000044
PFL_num3,Pyruvate formate lyase,( b0902 and b3114 ),( 1 and 1 ),28.20398930000002 and 85.93452570000048
PFL_num4,Pyruvate formate lyase,( b0903 and b0902 and b2579 ),( 2 and 1 and 1 ) ,85.35624120000044 and 28.20398930000002 and 14.28400809999999
FRD2,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 ,27.1227968 and 15.014853499999981 and 13.106770899999985 and 65.97088030000016
FRD3,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 ,27.1227968 and 15.014853499999981 and 13.106770899999985 and 65.97088030000016
POX,Pyruvate oxidase,b0871,4,62.010698600000204
PTAr_num1,Phosphotransacetylase,b2297,6,77.17118800000038
PTAr_num2,Phosphotransacetylase,b2458,2 ,36.066322799999995
ACKr_num1,Acetate kinase,b1849,1,42.433180700000044
ACKr_num2,Acetate kinase,b2296,1,43.28995010000005
ACKr_num3,Acetate kinase,b3115,1 ,43.38361870000001
MOAT,3-deoxy-D-manno-octulosonic acid transferase,b3633,1,47.29047050000007
UDCPDPS,Undecaprenyl diphosphate synthase,b0174,2,28.443798400000002
USHD,UDP-sugar hydrolase,b0524,1,26.893868100000017
LPADSS,Lipid A disaccaride synthase,b0182,2,42.381972400000066
TDSK,Tetraacyldisaccharide 4'kinase,b0915,1,35.58885940000005
NTPP1_num1,Nucleoside triphosphate pyrophosphorylase (dgtp),b0099,1,14.9268881
NTPP1_num2,Nucleoside triphosphate pyrophosphorylase (dgtp),b2781,2 ,30.41195170000002
NTPP2_num1,Nucleoside triphosphate pyrophosphorylase (gtp),b0099,1,14.9268881
NTPP2_num2,Nucleoside triphosphate pyrophosphorylase (gtp),b2781,2 ,30.41195170000002
NTPTP1,Nucleoside triphosphate tripolyhydrolase,b0160,6,59.382218500000114
NTPTP2,Nucleoside triphosphate tripolyhydrolase,b0160,6,59.382218500000114
IPMD_num1,3-isopropylmalate dehydrogenase,b0073,2,39.51655920000006
IPMD_num2,3-isopropylmalate dehydrogenase,b1800,1 ,40.314467600000036
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,8,17.78010779999999
ADSL2r,Adenylosuccinate lyase,b1131,4,51.54215810000002
PUNP5_num1,Purine-nucleoside phosphorylase (Inosine),b2407,6,29.834296999999996
PUNP5_num2,Purine-nucleoside phosphorylase (Inosine),b4384,6 ,25.94964089999999
PUNP6_num1,Purine-nucleoside phosphorylase (Deoxyinosine),b4384,6,25.94964089999999
PUNP6_num2,Purine-nucleoside phosphorylase (Deoxyinosine),b2407,6 ,29.834296999999996
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),b2407,6,29.834296999999996
RNDR1_num1,Ribonucleoside-diphosphate reductase (ADP),( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ),( 15.554604899999989 and 43.51675090000009 and 85.77425910000056 )
RNDR1_num2,Ribonucleoside-diphosphate reductase (ADP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ) ,11.806481899999984 and 43.51675090000009 and 85.77425910000056
RNDR3_num1,Ribonucleoside-diphosphate reductase (CDP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ),( 11.806481899999984 and 43.51675090000009 and 85.77425910000056 )
RNDR3_num2,Ribonucleoside-diphosphate reductase (CDP),( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ) ,15.554604899999989 and 43.51675090000009 and 85.77425910000056
RNDR4_num1,Ribonucleoside-diphosphate reductase (UDP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ),( 11.806481899999984 and 43.51675090000009 and 85.77425910000056 )
RNDR4_num2,Ribonucleoside-diphosphate reductase (UDP),( b2235 and b2234 and b2582 ),( 2 and 2 and 1 ) ,43.51675090000009 and 85.77425910000056 and 15.554604899999989
TMDS,Thymidylate synthase,b2827,2,30.479330400000006
TMDK1,Thymidine kinase (ATP:thymidine),b1238,1,23.456312000000015
PPCDC,Phosphopantothenoylcysteine decarboxylase,b3639,12,43.43764430000001
FTHFD,Formyltetrahydrofolate deformylase,b1232,6,31.934340499999998
EDD,6-phosphogluconate dehydratase,b1851,1,64.63830970000024
DHQTi,"3-dehydroquinate dehydratase, irreversible",b1693,2,27.466338900000007
PUNP1,Purine-nucleoside phosphorylase (Adenosine),b4384,6,25.94964089999999
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,6,25.94964089999999
PUNP3_num1,Purine-nucleoside phosphorylase (Guanosine),b2407,6,29.834296999999996
PUNP3_num2,Purine-nucleoside phosphorylase (Guanosine),b4384,6 ,25.94964089999999
LYSAM,"Lysine 2,3-aminomutase",b4146,1,38.749161200000046
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",b3771,2,65.53087410000029
IPPMIa,3-isopropylmalate dehydratase,b0071 and b0072,1 and 1 ,22.487205299999996 and 49.88129230000009
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),b2242 and b2243 and b2241,1 and 1 and 1 ,45.35671000000009 and 44.107567199999984 and 58.95758900000013
NADH9_num1,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b0046,2,20.169739700000004
NADH9_num2,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1109,1,47.35813240000004
NADH9_num3,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1004,4,20.845309599999975
NADH9_num4,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b3713,2 ,20.375325999999994
NADH10_num1,NADH dehydrogenase (menaquinone-8 & 0 protons),b0046,2,20.169739700000004
NADH10_num2,NADH dehydrogenase (menaquinone-8 & 0 protons),b1109,1,47.35813240000004
NADH10_num3,NADH dehydrogenase (menaquinone-8 & 0 protons),b3713,2,20.375325999999994
NADH10_num4,NADH dehydrogenase (menaquinone-8 & 0 protons),b1004,4 ,20.845309599999975
MDH,Malate dehydrogenase,b3236,2,32.33689669999998
FUM_num1,Fumarase,b4122,2,60.10461080000008
FUM_num2,Fumarase,b1612,2,60.29786670000006
FUM_num3,Fumarase,b1611,4 ,50.488334500000065
PYDXNK,Pyridoxine kinase,b2418,2,30.847016200000027
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,b1638,2,25.5448351
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,2,39.78284240000004
GLUTRR,Glutamyl-tRNA reductase,b1210,2,46.30627210000011
GLCS1,Glycogen synthase (ADPGlc),b3429,1,52.82176120000008
GLCP_num1,Glycogen phosphorylase,b3428,2,93.17141220000049
GLCP_num2,Glycogen phosphorylase,b3417,2 ,90.5212686000005
HEMEOS,Heme O synthase,b0428,1,32.24810950000005
ADMDC,Adenosylmethionine decarboxylase,b0120,1,30.384306500000022
AGMT,Agmatinase,b2937,2,33.55666390000001
ARGDC,Arginine decarboxylase,b4117,10,84.42428420000033
ARGSS,Argininosuccinate synthase,b3172,4,49.897831700000054
AGPR,N-acetyl-g-glutamyl-phosphate reductase,b3958,1,35.95169210000002
SPMS,Spermidine synthase,b0121,2,32.32101590000003
G1SAT,Glutamate-1-semialdehyde aminotransferase,b0154,2,45.3656295000001
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,b0918,1,27.61411420000001
OAADC,Oxaloacetate decarboxylase,b1850,3,22.28375649999999
MNNH,D-mannonate hydrolyase,b4322,1,44.83749560000007
ALTRH,Altronate hydrolase,b3091,1,54.09246260000005
GUI1,Glucuronate isomerase (D-glucuronate),b3092,1,53.98657040000005
PGAMT,Phosphoglucosamine mutase,b3176,1,47.54303520000005
UAGDP,UDP-N-acetylglucosamine diphosphorylase,b3730,3,49.18949640000002
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,1,44.81712960000008
GLUR,Glutamate racemase,b3967,1,31.001580500000014
UAG2E,UDP-N-acetylglucosamine 2-epimerase,b3786,2,42.24409300000002
MACPD,Malonyl-ACP decarboxylase,b2323,2,42.61287280000006
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,b2232,2,26.55514670000002
ICHORS_copy1,,b0593,1,42.93112880000007
HACD5_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846,2,79.59295340000031
HACD5_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b2341,1 ,77.0712984000004
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,b0142,1,18.0785667
PTPATi,Pantetheine-phosphate adenylyltransferase,b3634,6,17.836435500000004
HEX7,Hexokinase (D-fructose:ATP),b0394,1,32.49937440000002
DXPRIi,1-deoxy-D-xylulose reductoisomerase,b0173,2,43.38753750000009
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,b3843,6,55.603089500000074
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,b2232,2,26.55514670000002
GHMT2r,"Glycine hydroxymethyltransferase, reversible",b2551,2,45.31605480000002
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),b0945,1,36.7740758
ADK4,Adentylate kinase (ITP),b0474,1,23.585735300000007
INSK,Insosine kinase,b0477,2,48.44821730000007
ABTA_num1,4-aminobutyrate transaminase,b2662,2,45.77410639999998
ABTA_num2,4-aminobutyrate transaminase,b1302,1 ,44.72854410000003
SSALx,Succinate-semialdehyde dehydrogenase (NAD),b1525,2,49.71730720000011
ASPT,L-aspartase,b4139,4,52.35556480000002
SERD_L_num1,L-serine deaminase,b3708,4,52.772859400000044
SERD_L_num2,L-serine deaminase,b1814,1,48.906135100000064
SERD_L_num3,L-serine deaminase,b4471,2,48.52113890000004
SERD_L_num4,L-serine deaminase,b2797,1,48.752422900000056
SERD_L_num5,L-serine deaminase,b3117,4 ,35.23201880000002
THRD_num1,L-threonine dehydrogenase,b3616,4,37.23864480000004
THRD_num2,L-threonine dehydrogenase,b3589,1 ,40.35092600000004
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,4,54.06842740000005
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),b3774,4,54.06842740000005
ACCOAC,Acetyl-CoA carboxylase,b3256 and b2316 and b3255 and b0185,2 and 2 and 1 and 2 ,49.32018909999997 and 33.32156119999999 and 16.687038899999997 and 35.24113229999999
NADK,NAD kinase,b2615,6,32.5659952
ICHORS_copy2,,b2265,2,48.7639628000001
SUCBZS,O-succinylbenzoate-CoA synthase,b2261,1,35.476190900000034
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,4,26.2493542
ICHORT,Isochorismatase,b0595,1,32.55398120000002
RBK_L1,L-ribulokinase (L-ribulose),b0063,2,61.08872140000013
RBP4E_num1,L-ribulose-phosphate 4-epimerase,b4198,1,25.277442400000005
RBP4E_num2,L-ribulose-phosphate 4-epimerase,b0061,4,25.51861049999999
RBP4E_num3,L-ribulose-phosphate 4-epimerase,b3583,1 ,25.560567499999994
NTD2_num1,5'-nucleotidase (UMP),b4374,1,25.300306900000017
NTD2_num2,5'-nucleotidase (UMP),b2744,1,26.900114600000002
NTD2_num3,5'-nucleotidase (UMP),b0675,1 ,27.162780400000003
NTD4_num1,5'-nucleotidase (CMP),b2744,1,26.900114600000002
NTD4_num2,5'-nucleotidase (CMP),b0675,1 ,27.162780400000003
NTD5_num1,5'-nucleotidase (dTMP),b2291,2,22.70779700000001
NTD5_num2,5'-nucleotidase (dTMP),b2744,1,26.900114600000002
NTD5_num3,5'-nucleotidase (dTMP),b4374,1,25.300306900000017
NTD5_num4,5'-nucleotidase (dTMP),b2361,1 ,20.25522349999999
NTD6_num1,5'-nucleotidase (dAMP),b2291,2,22.70779700000001
NTD6_num2,5'-nucleotidase (dAMP),b2744,1,26.900114600000002
NTD6_num3,5'-nucleotidase (dAMP),b2361,1 ,20.25522349999999
LGTHL,Lactoylglutathione lyase,b1651,2,14.919668699999981
PYDXPP_num1,Pyridoxal 5-phosphate phosphatase,b0766,1,30.20095450000001
PYDXPP_num2,Pyridoxal 5-phosphate phosphatase,b0446,1,30.370595700000006
PYDXPP_num3,Pyridoxal 5-phosphate phosphatase,b3826,1,29.707394199999996
PYDXPP_num4,Pyridoxal 5-phosphate phosphatase,b0675,1 ,27.162780400000003
PDXPP,Pyridoxine 5-phosphate phosphatase,b0766,1,30.20095450000001
HACD6_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846,2,79.59295340000031
HACD6_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b2341,1 ,77.0712984000004
ECOAH1_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341,1,77.0712984000004
ECOAH1_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b3846,2 ,79.59295340000031
ECOAH2_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341,1,77.0712984000004
ECOAH2_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b3846,2 ,79.59295340000031
ECOAH3_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341,1,77.0712984000004
ECOAH3_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b3846,2 ,79.59295340000031
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,2,39.645207900000074
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,b0420,2,67.61615660000017
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208,2,30.925000900000022
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,3,16.897339399999996
DDGLK,2-dehydro-3-deoxygluconokinase,b3526,1,33.96196140000006
XYLI2,Xylose isomerase,b3565,4,49.74141420000006
PMANM,Phosphomannomutase,b2048,1,50.46198290000008
ICL,Isocitrate lyase,b4015,4,47.520998600000084
GLYCL,Glycine Cleavage System,b0116 and b2904 and b2903 and b2905,2 and 1 and 2 and 1 ,50.68787920000004 and 13.81102709999999 and 104.37518550000063 and 40.146246600000005
HCYSMT,Homocysteine S-methyltransferase,b0261,1,33.42242890000004
UDPG4E,UDPglucose 4-epimerase,b0759,2,37.26466520000002
LACZ,B-galactosidase,b0344,4,116.4814806000006
TRE6PH,Trehalose-6-phosphate hydrolase,b4239,1,63.8369039000001
XYLI1,Xylose isomerase,b3565,4,49.74141420000006
PPC,Phosphoenolpyruvate carboxylase,b3956,4,99.06143350000069
G3PT_num1,Glycerol-3-phosphatase,b0822,1,30.412456100000025
G3PT_num2,Glycerol-3-phosphatase,b0675,1 ,27.162780400000003
CINNDO,Cinnamate dioxygenase,b2540 and b2542 and b2538 and b2539,1 and 1 and 1 and 1 ,11.328653099999984 and 43.97769430000003 and 51.108602500000096 and 20.578989000000004
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",b2541,1,28.499268999999977
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",b2541,1,28.499268999999977
CITL,Citrate lyase,b0614 and b0615 and b0617 and b0616,1 and 6 and 6 and 6 ,20.27012540000001 and 55.17207980000011 and 10.689159299999988 and 33.10926240000003
GOFUCR,GDP-4-oxo-L-fucose reductase,b2052,2,36.14071440000003
PYDXK_num1,Pyridoxal kinase,b2418,2,30.847016200000027
