,name,gene_reaction_rule,subunit_mw,subunit_num
CS,Citrate synthase,b0720,48.01499,6
ICDHyr,Isocitrate dehydrogenase (NADP),b1136,45.75671,2
ACALD_num1,Acetaldehyde dehydrogenase (acetylating),b0351,33.44247,1
ACALD_num2,Acetaldehyde dehydrogenase (acetylating),b1241,96.12724 ,40 
ACS,Acetyl-CoA synthetase,b4069,72.09359,1
PPA_num1,Inorganic diphosphatase,b2502,58.13597,2
PPA_num2,Inorganic diphosphatase,b2744,26.90043,1
PPA_num3,Inorganic diphosphatase,b4226,19.70356 ,6 
PPCK,Phosphoenolpyruvate carboxykinase,b3403,59.64348,1
ME1,Malic enzyme (NAD),b1479,63.19733,4
ALAR_num1,Alanine racemase,b1190,38.84462,2
ALAR_num2,Alanine racemase,b4053,39.15294 ,2 
ALATA_L_num1,L-alanine transaminase,b2290,45.51737,2
ALATA_L_num2,L-alanine transaminase,b2379,46.21621 ,2 
XYLK_num1,Xylulokinase,b0063,61.08942,2
XYLK_num2,Xylulokinase,b3564,52.61823 ,2 
RBK,Ribokinase,b3752,32.29052,2
GLYK,Glycerol kinase,b3926,56.23077,4
PPM,Phosphopentomutase,b4383,44.36996,1
ASPTA_num1,Aspartate transaminase,b0928,43.57336,2
ASPTA_num2,Aspartate transaminase,b4054,43.53781 ,2 
FBP_num1,Fructose-bisphosphatase,b2930,34.32343,2
FBP_num2,Fructose-bisphosphatase,b4232,36.83393,4
FBP_num3,Fructose-bisphosphatase,b3925,35.85231,2
FBP_num4,Fructose-bisphosphatase,b3697,29.721 ,1 
GLGC,Glucose-1-phosphate adenylyltransferase,b3430,48.69764,4
PYK_num1,Pyruvate kinase,b1854,51.35714,4
PYK_num2,Pyruvate kinase,b1676,50.72942 ,4 
A5PISO_num1,Arabinose-5-phosphate isomerase,b3197,35.19608,4
A5PISO_num2,Arabinose-5-phosphate isomerase,b2708,34.03143 ,4 
IPPMIb,2-isopropylmalate hydratase,b0071 and b0072,22.48749 and 49.88183 ,1 and 1 
ACHBS_num1,2-aceto-2-hydroxybutanoate synthase,( b3670 and b3671 ),( 11.10576 and 60.44057 ),( 2 and 2 )
ACHBS_num2,2-aceto-2-hydroxybutanoate synthase,( b0077 and b0078 ),( 62.98434 and 17.97676 ) ,( 2 and 2 ) 
ACLS_num1,Acetolactate synthase,( b0077 and b0078 ),( 62.98434 and 17.97676 ),( 2 and 2 )
ACLS_num2,Acetolactate synthase,( b3670 and b3671 ),( 11.10576 and 60.44057 ) ,( 2 and 2 ) 
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,b0908,46.09578,1
ANS,Anthranilate synthase,b1263 and b1264,56.86994 and 57.49446 ,2 and 2 
ANPRT,Anthranilate phosphoribosyltransferase,b1263,56.86994,2
CHORM_num1,Chorismate mutase,b2599,43.11136,2
CHORM_num2,Chorismate mutase,b2600,42.04252 ,2 
CHORS,Chorismate synthase,b2329,39.13745,4
IGPS,Indole-3-glycerol-phosphate synthase,b1262,49.49233,1
ECOAH6_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b2341,77.07221,1
ECOAH6_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b3846,79.59391 ,2 
ENO,Enolase,b2779,45.65495,2
FBA_num1,Fructose-bisphosphate aldolase,b2925,39.14726,2
FBA_num2,Fructose-bisphosphate aldolase,b2097,38.10919 ,10 
MGSA,Methylglyoxal synthase,b0963,16.91858,6
PPS,Phosphoenolpyruvate synthase,b1702,87.43508,2
PGI,Glucose-6-phosphate isomerase,b4025,61.52977,2
PGK,Phosphoglycerate kinase,b2926,41.11822,1
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,b1850,22.28403,3
PGL,6-phosphogluconolactonase,b0767,36.30764,1
RPE,Ribulose 5-phosphate 3-epimerase,b3386,24.55425,1
TALA_num1,Transaldolase,b0008,35.21925,2
TALA_num2,Transaldolase,b2464,35.6588 ,1 
TKT1_num1,Transketolase,b2935,72.21174,2
TKT1_num2,Transketolase,b2465,73.04272 ,1 
G6PDA,Glucosamine-6-phosphate deaminase,b0678,29.7742,6
ALCD2x_num1,Alcohol dehydrogenase (ethanol),b1241,96.12724,40
ALCD2x_num2,Alcohol dehydrogenase (ethanol),b1478,35.37957 ,4 
ALDD2y_num1,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b0493,29.41,1
ALDD2y_num2,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3011,42.097,2
ALDD2y_num3,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3588,56.30635,4
ALDD2y_num4,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3003,31.488,1
ALDD2y_num5,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b4269,36.502 ,1 
RMI,L-rhamnose isomerase,b3903,47.19944,4
FMNAT,FMN adenylyltransferase,b0025,34.73427,1
NADDP_num1,NAD diphosphatase,b3996,29.68894,2
NADDP_num2,NAD diphosphatase,b2411,73.60607 ,1 
NMNAT_num1,Nicotinamide-nucleotide adenylyltransferase,b4390,47.34583,4
NMNAT_num2,Nicotinamide-nucleotide adenylyltransferase,b0639,24.52795 ,1 
HMPK1_num1,Hydroxymethylpyrimidine kinase (ATP),b2103,28.63361,4
HMPK1_num2,Hydroxymethylpyrimidine kinase (ATP),b2418,30.8474 ,2 
NDPK6_num1,Nucleoside-diphosphate kinase (ATP:dUDP),b0474,23.58602,1
NDPK6_num2,Nucleoside-diphosphate kinase (ATP:dUDP),b2518,15.46344 ,4 
NDPK8_num1,Nucleoside-diphosphate kinase (ATP:dADP),b0474,23.58602,1
NDPK8_num2,Nucleoside-diphosphate kinase (ATP:dADP),b2518,15.46344 ,4 
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),b3831,27.15908,6
DURIPP_num1,Deoxyuridine phosphorylase,b4382,47.20712,2
DURIPP_num2,Deoxyuridine phosphorylase,b4384,25.94991 ,6 
PTRCTA,Putrescine Transaminase,b3073,49.66137,2
CYSDS_num1,Cysteine Desulfhydrase,b3008,43.21238,4
CYSDS_num2,Cysteine Desulfhydrase,b3708,52.77346 ,4 
TRPAS2,Tryptophanase (L-tryptophan),b3708,52.77346,4
NDP3_num1,Nucleoside diphosphatase  GDP ,b1134,17.43291,1
NDP3_num2,Nucleoside diphosphatase  GDP ,b3614,35.353 ,1 
CDPPH,CDP phosphohydrolase,b3614,35.353,1
NDP7,Nucleoside diphosphatase  UDP ,b3614,35.353,1
PMDPHT_num1,Pyrimidine phosphatase,b0844,30.196,1
PMDPHT_num2,Pyrimidine phosphatase,b3812,27.122 ,1 
ILETA,Isoleucine transaminase,b3770,34.09365,6
VALTA,Valine transaminase,b3770,34.09365,6
ORPT,Orotate phosphoribosyltransferase,b3642,23.567,2
RBFSa,Riboflavin synthase,b0415,16.15651,60
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",b3771,65.53157,2
G1PP_num1,Glucose-1-phosphatase,b3885,22.732,1
G1PP_num2,Glucose-1-phosphatase,b2293,23.007,1
G1PP_num3,Glucose-1-phosphatase,b3697,29.721 ,1 
PFL_num1,Pyruvate formate lyase,( b3951 and b3952 ),( 85.95977 and 32.42965 ),( 1 and 1 )
PFL_num2,Pyruvate formate lyase,( b0902 and b0903 ),( 28.20429 and 85.35721 ),( 1 and 2 )
PFL_num3,Pyruvate formate lyase,( b0902 and b3114 ),( 28.20429 and 85.93554 ),( 1 and 1 )
PFL_num4,Pyruvate formate lyase,( b0903 and b0902 and b2579 ),( 85.35721 and 28.20429 and 14.28419 ) ,( 2 and 1 and 1 ) 
FRD2,Fumarate reductase,b4153 and b4152 and b4151 and b4154,27.12306 and 15.01505 and 13.10693 and 65.9716 ,1 and 1 and 1 and 1 
FRD3,Fumarate reductase,b4153 and b4152 and b4151 and b4154,27.12306 and 15.01505 and 13.10693 and 65.9716 ,1 and 1 and 1 and 1 
POX,Pyruvate oxidase,b0871,62.01138,4
PTAr_num1,Phosphotransacetylase,b2297,77.17209,6
PTAr_num2,Phosphotransacetylase,b2458,36.06673 ,2 
ACKr_num1,Acetate kinase,b1849,42.43368,1
ACKr_num2,Acetate kinase,b2296,43.29045,1
ACKr_num3,Acetate kinase,b3115,43.38411 ,1 
MOAT,3-deoxy-D-manno-octulosonic acid transferase,b3633,47.29108,1
UDCPDPS,Undecaprenyl diphosphate synthase,b0174,28.44414,2
USHD,UDP-sugar hydrolase,b0524,26.89418,1
LPADSS,Lipid A disaccaride synthase,b0182,42.38245,2
TDSK,Tetraacyldisaccharide 4'kinase,b0915,35.58929,1
NTPP1_num1,Nucleoside triphosphate pyrophosphorylase (dgtp),b0099,14.92707,1
NTPP1_num2,Nucleoside triphosphate pyrophosphorylase (dgtp),b2781,30.4123 ,2 
NTPP2_num1,Nucleoside triphosphate pyrophosphorylase (gtp),b0099,14.92707,1
NTPP2_num2,Nucleoside triphosphate pyrophosphorylase (gtp),b2781,30.4123 ,2 
NTPTP1,Nucleoside triphosphate tripolyhydrolase,b0160,59.38294,6
NTPTP2,Nucleoside triphosphate tripolyhydrolase,b0160,59.38294,6
IPMD_num1,3-isopropylmalate dehydrogenase,b0073,39.51701,2
IPMD_num2,3-isopropylmalate dehydrogenase,b1800,40.31493 ,1 
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,17.78032,8
ADSL2r,Adenylosuccinate lyase,b1131,51.54281,4
PUNP5_num1,Purine-nucleoside phosphorylase (Inosine),b2407,29.83462,6
PUNP5_num2,Purine-nucleoside phosphorylase (Inosine),b4384,25.94991 ,6 
PUNP6_num1,Purine-nucleoside phosphorylase (Deoxyinosine),b4384,25.94991,6
PUNP6_num2,Purine-nucleoside phosphorylase (Deoxyinosine),b2407,29.83462 ,6 
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),b2407,29.83462,6
RNDR1_num1,Ribonucleoside-diphosphate reductase (ADP),( b2582 and b2235 and b2234 ),( 15.55477 and 43.51727 and 85.77528 ),( 1 and 2 and 2 )
RNDR1_num2,Ribonucleoside-diphosphate reductase (ADP),( b3781 and b2235 and b2234 ),( 11.80662 and 43.51727 and 85.77528 ) ,( 1 and 2 and 2 ) 
RNDR3_num1,Ribonucleoside-diphosphate reductase (CDP),( b3781 and b2235 and b2234 ),( 11.80662 and 43.51727 and 85.77528 ),( 1 and 2 and 2 )
RNDR3_num2,Ribonucleoside-diphosphate reductase (CDP),( b2582 and b2235 and b2234 ),( 15.55477 and 43.51727 and 85.77528 ) ,( 1 and 2 and 2 ) 
RNDR4_num1,Ribonucleoside-diphosphate reductase (UDP),( b3781 and b2235 and b2234 ),( 11.80662 and 43.51727 and 85.77528 ),( 1 and 2 and 2 )
RNDR4_num2,Ribonucleoside-diphosphate reductase (UDP),( b2235 and b2234 and b2582 ),( 43.51727 and 85.77528 and 15.55477 ) ,( 2 and 2 and 1 ) 
TMDS,Thymidylate synthase,b2827,30.47969,2
TMDK1,Thymidine kinase (ATP:thymidine),b1238,23.45658,1
PPCDC,Phosphopantothenoylcysteine decarboxylase,b3639,43.43814,12
FTHFD,Formyltetrahydrofolate deformylase,b1232,31.93472,6
EDD,6-phosphogluconate dehydratase,b1851,64.63902,1
DHQTi,"3-dehydroquinate dehydratase, irreversible",b1693,27.46665,2
PUNP1,Purine-nucleoside phosphorylase (Adenosine),b4384,25.94991,6
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,25.94991,6
PUNP3_num1,Purine-nucleoside phosphorylase (Guanosine),b2407,29.83462,6
PUNP3_num2,Purine-nucleoside phosphorylase (Guanosine),b4384,25.94991 ,6 
LYSAM,"Lysine 2,3-aminomutase",b4146,38.75,1
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",b3771,65.53157,2
IPPMIa,3-isopropylmalate dehydratase,b0071 and b0072,22.48749 and 49.88183 ,1 and 1 
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),b2242 and b2243 and b2241,45.35724 and 44.10804 and 58.95825 ,1 and 1 and 1 
NADH9_num1,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b0046,20.17,2
NADH9_num2,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1109,47.35867,1
NADH9_num3,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1004,20.846,4
NADH9_num4,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b3713,20.376 ,2 
NADH10_num1,NADH dehydrogenase (menaquinone-8 & 0 protons),b0046,20.17,2
NADH10_num2,NADH dehydrogenase (menaquinone-8 & 0 protons),b1109,47.35867,1
NADH10_num3,NADH dehydrogenase (menaquinone-8 & 0 protons),b3713,20.376,2
NADH10_num4,NADH dehydrogenase (menaquinone-8 & 0 protons),b1004,20.846 ,4 
MDH,Malate dehydrogenase,b3236,32.3373,2
FUM_num1,Fumarase,b4122,60.10532,2
FUM_num2,Fumarase,b1612,60.29858,2
FUM_num3,Fumarase,b1611,50.48888 ,4 
PYDXNK,Pyridoxine kinase,b2418,30.8474,2
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,b1638,25.54515,2
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,39.78331,2
GLUTRR,Glutamyl-tRNA reductase,b1210,46.30682,2
GLCS1,Glycogen synthase (ADPGlc),b3429,52.82243,1
GLCP_num1,Glycogen phosphorylase,b3428,93.17256,2
GLCP_num2,Glycogen phosphorylase,b3417,90.5224 ,2 
HEMEOS,Heme O synthase,b0428,32.2485,1
ADMDC,Adenosylmethionine decarboxylase,b0120,30.38464,1
AGMT,Agmatinase,b2937,33.55704,2
ARGDC,Arginine decarboxylase,b4117,84.42524,10
ARGSS,Argininosuccinate synthase,b3172,49.8984,4
AGPR,N-acetyl-g-glutamyl-phosphate reductase,b3958,35.95213,1
SPMS,Spermidine synthase,b0121,32.32139,2
G1SAT,Glutamate-1-semialdehyde aminotransferase,b0154,45.3661,2
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,b0918,27.61444,1
OAADC,Oxaloacetate decarboxylase,b1850,22.28403,3
MNNH,D-mannonate hydrolyase,b4322,44.83802,1
ALTRH,Altronate hydrolase,b3091,54.09308,1
GUI1,Glucuronate isomerase (D-glucuronate),b3092,53.98718,1
PGAMT,Phosphoglucosamine mutase,b3176,47.54357,1
UAGDP,UDP-N-acetylglucosamine diphosphorylase,b3730,49.19008,3
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,44.81765,1
GLUR,Glutamate racemase,b3967,31.00195,1
UAG2E,UDP-N-acetylglucosamine 2-epimerase,b3786,42.24459,2
MACPD,Malonyl-ACP decarboxylase,b2323,42.61332,2
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,b2232,26.55545,2
ICHORS_copy1,,b0593,42.93165,1
HACD5_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846,79.59391,2
HACD5_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b2341,77.07221 ,1 
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,b0142,18.07879,1
PTPATi,Pantetheine-phosphate adenylyltransferase,b3634,17.83663,6
HEX7,Hexokinase (D-fructose:ATP),b0394,32.49975,1
DXPRIi,1-deoxy-D-xylulose reductoisomerase,b0173,43.38798,2
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,b3843,55.60375,6
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,b2232,26.55545,2
GHMT2r,"Glycine hydroxymethyltransferase, reversible",b2551,45.31659,2
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),b0945,36.77452,1
ADK4,Adentylate kinase (ITP),b0474,23.58602,1
INSK,Insosine kinase,b0477,48.44878,2
ABTA_num1,4-aminobutyrate transaminase,b2662,45.77463,2
ABTA_num2,4-aminobutyrate transaminase,b1302,44.72907 ,1 
SSALx,Succinate-semialdehyde dehydrogenase (NAD),b1525,49.71786,2
ASPT,L-aspartase,b4139,52.35613,4
SERD_L_num1,L-serine deaminase,b3708,52.77346,4
SERD_L_num2,L-serine deaminase,b1814,48.90665,1
SERD_L_num3,L-serine deaminase,b4471,48.52165,2
SERD_L_num4,L-serine deaminase,b2797,48.75292,1
SERD_L_num5,L-serine deaminase,b3117,35.232 ,4 
THRD_num1,L-threonine dehydrogenase,b3616,37.23904,4
THRD_num2,L-threonine dehydrogenase,b3589,40.351 ,1 
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,54.06902,4
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),b3774,54.06902,4
ACCOAC,Acetyl-CoA carboxylase,b3256 and b2316 and b3255 and b0185,49.32074 and 33.32189 and 16.68721 and 35.24154 ,2 and 2 and 1 and 2 
NADK,NAD kinase,b2615,32.56638,6
ICHORS_copy2,,b2265,48.76455,2
SUCBZS,O-succinylbenzoate-CoA synthase,b2261,35.47661,1
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,26.24966,4
ICHORT,Isochorismatase,b0595,32.55434,1
RBK_L1,L-ribulokinase (L-ribulose),b0063,61.08942,2
RBP4E_num1,L-ribulose-phosphate 4-epimerase,b4198,25.27774,1
RBP4E_num2,L-ribulose-phosphate 4-epimerase,b0061,25.51891,4
RBP4E_num3,L-ribulose-phosphate 4-epimerase,b3583,25.56087 ,1 
NTD2_num1,5'-nucleotidase (UMP),b4374,25.30062,1
NTD2_num2,5'-nucleotidase (UMP),b2744,26.90043,1
NTD2_num3,5'-nucleotidase (UMP),b0675,27.163 ,1 
NTD4_num1,5'-nucleotidase (CMP),b2744,26.90043,1
NTD4_num2,5'-nucleotidase (CMP),b0675,27.163 ,1 
NTD5_num1,5'-nucleotidase (dTMP),b2291,22.70806,2
NTD5_num2,5'-nucleotidase (dTMP),b2744,26.90043,1
NTD5_num3,5'-nucleotidase (dTMP),b4374,25.30062,1
NTD5_num4,5'-nucleotidase (dTMP),b2361,20.255 ,1 
NTD6_num1,5'-nucleotidase (dAMP),b2291,22.70806,2
NTD6_num2,5'-nucleotidase (dAMP),b2744,26.90043,1
NTD6_num3,5'-nucleotidase (dAMP),b2361,20.255 ,1 
LGTHL,Lactoylglutathione lyase,b1651,14.91985,2
PYDXPP_num1,Pyridoxal 5-phosphate phosphatase,b0766,30.20131,1
PYDXPP_num2,Pyridoxal 5-phosphate phosphatase,b0446,30.37091,1
PYDXPP_num3,Pyridoxal 5-phosphate phosphatase,b3826,29.70773,1
PYDXPP_num4,Pyridoxal 5-phosphate phosphatase,b0675,27.163 ,1 
PDXPP,Pyridoxine 5-phosphate phosphatase,b0766,30.20131,1
HACD6_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846,79.59391,2
HACD6_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b2341,77.07221 ,1 
ECOAH1_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341,77.07221,1
ECOAH1_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b3846,79.59391 ,2 
ECOAH2_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341,77.07221,1
ECOAH2_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b3846,79.59391 ,2 
ECOAH3_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341,77.07221,1
ECOAH3_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b3846,79.59391 ,2 
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,39.64568,2
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,b0420,67.61694,2
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208,30.92537,2
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,16.89754,3
DDGLK,2-dehydro-3-deoxygluconokinase,b3526,33.96236,1
XYLI2,Xylose isomerase,b3565,49.74201,4
PMANM,Phosphomannomutase,b2048,50.46258,1
ICL,Isocitrate lyase,b4015,47.52157,4
GLYCL,Glycine Cleavage System,b0116 and b2904 and b2903 and b2905,50.68849 and 13.8112 and 104.37635 and 40.14671 ,2 and 1 and 2 and 1 
HCYSMT,Homocysteine S-methyltransferase,b0261,33.42283,1
UDPG4E,UDPglucose 4-epimerase,b0759,37.26511,2
LACZ,B-galactosidase,b0344,116.48286,4
TRE6PH,Trehalose-6-phosphate hydrolase,b4239,63.83767,1
XYLI1,Xylose isomerase,b3565,49.74201,4
PPC,Phosphoenolpyruvate carboxylase,b3956,99.06261,4
G3PT_num1,Glycerol-3-phosphatase,b0822,30.41283,1
G3PT_num2,Glycerol-3-phosphatase,b0675,27.163 ,1 
CINNDO,Cinnamate dioxygenase,b2540 and b2542 and b2538 and b2539,11.32877 and 43.97822 and 51.10921 and 20.57925 ,1 and 1 and 1 and 1 
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",b2541,28.4996,1
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",b2541,28.4996,1
CITL,Citrate lyase,b0614 and b0615 and b0617 and b0616,20.27036 and 55.17272 and 10.68928 and 33.10966 ,1 and 6 and 6 and 6 
GOFUCR,GDP-4-oxo-L-fucose reductase,b2052,36.14114,2
PYDXK_num1,Pyridoxal kinase,b2418,30.8474,2
PYDXK_num2,Pyridoxal kinase,b1636,31.3222 ,2 
GTPCII2,GTP cyclohydrolase II (25drapp),b1277,21.83598,2
SADT2,Sulfate adenyltransferase,b2752 and b2751,35.18831 and 52.55847 ,4 and 4 
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",b2799,40.51337,2
ALCD19_num1,Alcohol dehydrogenase (glycerol),b1478,35.37957,4
ALCD19_num2,Alcohol dehydrogenase (glycerol),b1241,96.12724 ,40 
RMPA,Rhamnulose-1-phosphate aldolase,b3902,30.14549,4
SBTPD,Sorbitol-6-phosphate dehydrogenase,b2705,27.85788,4
PFK_2,Phosphofructokinase,b3916,34.84204,4
GLTPD,Galactitol-1-phosphate dehydrogenase,b2091,37.39014,2
TGBPA_num1,Tagatose-bisphosphate aldolase,( b3132 and b3137 ),( 47.19243 and 31.29368 ),( 1 and 4 )
TGBPA_num2,Tagatose-bisphosphate aldolase,( b2095 and b2096 ),( 47.10872 and 30.81193 ) ,( 1 and 1 ) 
MANAO,Mannonate oxidoreductase,b4323,53.58018,1
TAGURr,Tagaturonate reductase,b1521,54.80832,1
PGLYCP,Phosphoglycolate phosphatase,b3385,27.38917,1
GLXCL,Glyoxalate carboligase,b0507,64.73174,2
TARTD,L(+)-tartrate dehydratase,b3062 and b3061,22.67946 and 32.73356 ,2 and 2 
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,b3126,27.38416,6
KAS14_num1,Beta-ketoacyl-ACP synthase,b2323,42.61332,2
KAS14_num2,Beta-ketoacyl-ACP synthase,b1095,43.04576 ,2 
EDTXS1,Endotoxin Synthesis (lauroyl transferase),b1054,35.40682,1
EDTXS2,Endotoxin Synthesis (myristoyl transferase),b1855,37.41038,1
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),b2378,35.49339,1
EDTXS4,Endotoxin Synthesis (myristoyl transferase),b1855,37.41038,1
NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),b0109,32.76207,2
