gene,GO,GO_fun,namespcae
b0051,GO:0070475,rRNA base methylation,biological_process
b3740,GO:0070475,rRNA base methylation,biological_process
b3740,GO:0070476,rRNA (guanine-N7)-methylation,biological_process
b2183,GO:0000455,"enzyme-directed rRNA pseudouridine synthesis,",biological_process
b4213,GO:0006974,cellular response to DNA damage stimulus,biological_process
b4213,GO:0009166,nucleotide catabolic process,biological_process
b4213,GO:0016311,dephosphorylation,biological_process
b0166,GO:0009085,lysine biosynthetic process,biological_process
b0166,GO:0009089,lysine biosynthetic process via diaminopimelate,biological_process
b0166,GO:0019877,diaminopimelate biosynthetic process,biological_process
b1393,GO:0006635,fatty acid beta-oxidation,biological_process
b1393,GO:0010124,phenylacetate catabolic process,biological_process
b2871,GO:0009063,"cellular amino acid catabolic process,",biological_process
b0596,GO:0009239,"enterobactin biosynthetic process,",biological_process
b2541,GO:0019380,3-phenylpropionate catabolic process,biological_process
b2541,GO:0019439,aromatic compound catabolic process,biological_process
b0594,GO:0009239,"enterobactin biosynthetic process,",biological_process
b0348,GO:0019380,3-phenylpropionate catabolic process,biological_process
b0348,GO:0019622,3-(3-hydroxy)phenylpropionate catabolic process,biological_process
b0348,GO:0046271,phenylpropanoid catabolic process,biological_process
b3578,GO:0034219,"carbohydrate transmembrane transport,",biological_process
b3577,GO:0034219,"carbohydrate transmembrane transport,",biological_process
b3579,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3579,GO:0034219,carbohydrate transmembrane transport,biological_process
b3081,GO:0033543,"fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway,",biological_process
b3012,GO:0019853,L-ascorbic acid biosynthetic process,biological_process
b3012,GO:0051596,methylglyoxal catabolic process,biological_process
b0207,GO:0019853,L-ascorbic acid biosynthetic process,biological_process
b0207,GO:0051596,methylglyoxal catabolic process,biological_process
b0613,GO:0016310,phosphorylation,biological_process
b0613,GO:0051191,prosthetic group biosynthetic process,biological_process
b0142,GO:0046654,tetrahydrofolate biosynthetic process,biological_process
b0142,GO:0046656,folic acid biosynthetic process,biological_process
b0419,GO:0006772,thiamine metabolic process,biological_process
b0419,GO:1902767,isoprenoid biosynthetic process via mevalonate,biological_process
b2842,GO:0019698,D-galacturonate catabolic process,biological_process
b2842,GO:0042840,D-glucuronate catabolic process,biological_process
b3526,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3526,GO:0019698,D-galacturonate catabolic process,biological_process
b3526,GO:0042840,D-glucuronate catabolic process,biological_process
b3526,GO:0046835,carbohydrate phosphorylation,biological_process
b0425,GO:0033317,"pantothenate biosynthetic process from valine,",biological_process
b1727,GO:0016311,"dephosphorylation,",biological_process
b4381,GO:0006974,cellular response to DNA damage stimulus,biological_process
b4381,GO:0009264,deoxyribonucleotide catabolic process,biological_process
b4381,GO:0015949,nucleobase-containing small molecule interconversion,biological_process
b4381,GO:0016052,carbohydrate catabolic process,biological_process
b4381,GO:0046386,deoxyribose phosphate catabolic process,biological_process
b0349,GO:0019380,3-phenylpropionate catabolic process,biological_process
b0349,GO:0019439,aromatic compound catabolic process,biological_process
b0349,GO:0019622,3-(3-hydroxy)phenylpropionate catabolic process,biological_process
b0074,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
b0074,GO:0009098,leucine biosynthetic process,biological_process
b0268,GO:0046176,"aldonic acid catabolic process,",biological_process
b3909,GO:0035429,"gluconate transmembrane transport,",biological_process
b2245,GO:0005975,carbohydrate metabolic process,biological_process
b2245,GO:0006725,cellular aromatic compound metabolic process,biological_process
b0350,GO:0019380,3-phenylpropionate catabolic process,biological_process
b0350,GO:0019439,aromatic compound catabolic process,biological_process
b0334,GO:0006099,tricarboxylic acid cycle,biological_process
b0334,GO:0019629,"propionate catabolic process, 2-methylcitrate cycle",biological_process
b0334,GO:0019679,"propionate metabolic process, methylcitrate cycle",biological_process
b0333,GO:0006099,tricarboxylic acid cycle,biological_process
b0333,GO:0019679,"propionate metabolic process, methylcitrate cycle",biological_process
b0331,GO:0006097,glyoxylate cycle,biological_process
b0331,GO:0019629,"propionate catabolic process, 2-methylcitrate cycle",biological_process
b0662,GO:0006744,ubiquinone biosynthetic process,biological_process
b0662,GO:0044550,secondary metabolite biosynthetic process,biological_process
b2907,GO:0006744,ubiquinone biosynthetic process,biological_process
b2907,GO:0006979,response to oxidative stress,biological_process
b2907,GO:0009416,response to light stimulus,biological_process
b2907,GO:0044550,secondary metabolite biosynthetic process,biological_process
b2906,GO:0006744,ubiquinone biosynthetic process,biological_process
b2906,GO:0044550,secondary metabolite biosynthetic process,biological_process
b4477,GO:0034194,"D-galactonate catabolic process,",biological_process
b3693,GO:0034194,D-galactonate catabolic process,biological_process
b3693,GO:0046835,carbohydrate phosphorylation,biological_process
b0726,GO:0006096,glycolytic process,biological_process
b0726,GO:0006099,tricarboxylic acid cycle,biological_process
b2264,GO:0009234,"menaquinone biosynthetic process,",biological_process
b2263,GO:0009234,"menaquinone biosynthetic process,",biological_process
b2806,GO:0000453,"enzyme-directed rRNA 2'-O-methylation,",biological_process
b3179,GO:0000027,ribosomal large subunit assembly,biological_process
b3179,GO:0000453,enzyme-directed rRNA 2'-O-methylation,biological_process
b1822,GO:0070475,"rRNA base methylation,",biological_process
b3084,GO:0070475,"rRNA base methylation,",biological_process
b0948,GO:0031167,rRNA methylation,biological_process
b0948,GO:0070475,rRNA base methylation,biological_process
b0948,GO:0070476,rRNA (guanine-N7)-methylation,biological_process
b0636,GO:0031167,rRNA methylation,biological_process
b0636,GO:0070475,rRNA base methylation,biological_process
b0967,GO:0031167,rRNA methylation,biological_process
b0967,GO:0044010,single-species biofilm formation,biological_process
b0967,GO:0070475,rRNA base methylation,biological_process
b2785,GO:0070475,"rRNA base methylation,",biological_process
b0859,GO:0070475,"rRNA base methylation,",biological_process
b0807,GO:0070475,"rRNA base methylation,",biological_process
b3499,GO:0015976,carbon utilization,biological_process
b3499,GO:0070475,rRNA base methylation,biological_process
b4180,GO:0000453,"enzyme-directed rRNA 2'-O-methylation,",biological_process
b2594,GO:0000027,ribosomal large subunit assembly,biological_process
b2594,GO:0000455,enzyme-directed rRNA pseudouridine synthesis,biological_process
b1135,GO:0000455,"enzyme-directed rRNA pseudouridine synthesis,",biological_process
b4022,GO:0000455,"enzyme-directed rRNA pseudouridine synthesis,",biological_process
b1269,GO:0000455,"enzyme-directed rRNA pseudouridine synthesis,",biological_process
b1086,GO:0000455,"enzyme-directed rRNA pseudouridine synthesis,",biological_process
b2746,GO:0006744,ubiquinone biosynthetic process,biological_process
b2746,GO:0016114,terpenoid biosynthetic process,biological_process
b2746,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b4214,GO:0000103,sulfate assimilation,biological_process
b4214,GO:0016311,dephosphorylation,biological_process
b4214,GO:0046854,phosphatidylinositol phosphorylation,biological_process
b3032,GO:0042545,"cell wall modification,",biological_process
b3041,GO:0009231,"riboflavin biosynthetic process,",biological_process
b0347,GO:0019380,3-phenylpropionate catabolic process,biological_process
b0347,GO:0019622,3-(3-hydroxy)phenylpropionate catabolic process,biological_process
b0347,GO:0044550,secondary metabolite biosynthetic process,biological_process
b0347,GO:0046271,phenylpropanoid catabolic process,biological_process
b1693,GO:0008652,cellular amino acid biosynthetic process,biological_process
b1693,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b1693,GO:0009423,chorismate biosynthetic process,biological_process
b1693,GO:0046279,"3,4-dihydroxybenzoate biosynthetic process",biological_process
b3389,GO:0008652,cellular amino acid biosynthetic process,biological_process
b3389,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b3389,GO:0009423,chorismate biosynthetic process,biological_process
b0754,GO:0008652,cellular amino acid biosynthetic process,biological_process
b0754,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b0754,GO:0009423,chorismate biosynthetic process,biological_process
b1704,GO:0008652,cellular amino acid biosynthetic process,biological_process
b1704,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b1704,GO:0009423,chorismate biosynthetic process,biological_process
b2601,GO:0008652,cellular amino acid biosynthetic process,biological_process
b2601,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b2601,GO:0009423,chorismate biosynthetic process,biological_process
b3198,GO:0009103,lipopolysaccharide biosynthetic process,biological_process
b3198,GO:0016311,dephosphorylation,biological_process
b1215,GO:0019294,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,biological_process
b1215,GO:0051289,protein homotetramerization,biological_process
b3633,GO:0009244,lipopolysaccharide core region biosynthetic process,biological_process
b3633,GO:0009245,lipid A biosynthetic process,biological_process
b3633,GO:0036104,Kdo2-lipid A biosynthetic process,biological_process
b0918,GO:0019294,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,biological_process
b0918,GO:0033468,CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,biological_process
b1395,GO:0006631,fatty acid metabolic process,biological_process
b1395,GO:0010124,phenylacetate catabolic process,biological_process
b0353,GO:0042920,"3-hydroxyphenylpropionic acid transport,",biological_process
b0072,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
b0072,GO:0009098,leucine biosynthetic process,biological_process
b0071,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
b0071,GO:0009098,leucine biosynthetic process,biological_process
b0073,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
b0073,GO:0009098,leucine biosynthetic process,biological_process
b0073,GO:0034198,cellular response to amino acid starvation,biological_process
b3581,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,biological_process
b3581,GO:0016052,carbohydrate catabolic process,biological_process
b4196,GO:0005975,carbohydrate metabolic process,biological_process
b4196,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,biological_process
b4196,GO:0019854,L-ascorbic acid catabolic process,biological_process
b3845,GO:0006635,"fatty acid beta-oxidation,",biological_process
b2521,GO:0046677,"response to antibiotic,",biological_process
b0134,GO:0033317,"pantothenate biosynthetic process from valine,",biological_process
b3549,GO:0006284,base-excision repair,biological_process
b3549,GO:0006307,DNA dealkylation involved in DNA repair,biological_process
b2068,GO:0006281,DNA repair,biological_process
b2068,GO:0006284,base-excision repair,biological_process
b2068,GO:0006307,DNA dealkylation involved in DNA repair,biological_process
b2068,GO:0006974,cellular response to DNA damage stimulus,biological_process
b2311,GO:0006744,ubiquinone biosynthetic process,biological_process
b2311,GO:0009108,coenzyme biosynthetic process,biological_process
b3843,GO:0006744,"ubiquinone biosynthetic process,",biological_process
b1093,GO:0006633,fatty acid biosynthetic process,biological_process
b1093,GO:0008610,lipid biosynthetic process,biological_process
b1093,GO:0009102,biotin biosynthetic process,biological_process
b1093,GO:0030497,fatty acid elongation,biological_process
b2323,GO:0006633,fatty acid biosynthetic process,biological_process
b2323,GO:0008610,lipid biosynthetic process,biological_process
b1095,GO:0006633,"fatty acid biosynthetic process,",biological_process
b1091,GO:0006631,fatty acid metabolic process,biological_process
b1091,GO:0006633,fatty acid biosynthetic process,biological_process
b1397,GO:0006635,fatty acid beta-oxidation,biological_process
b1397,GO:0006974,cellular response to DNA damage stimulus,biological_process
b1397,GO:0010124,phenylacetate catabolic process,biological_process
b1397,GO:0019619,"3,4-dihydroxybenzoate catabolic process",biological_process
b2540,GO:0019380,3-phenylpropionate catabolic process,biological_process
b2540,GO:0019439,aromatic compound catabolic process,biological_process
b2538,GO:0019380,3-phenylpropionate catabolic process,biological_process
b2538,GO:0019439,aromatic compound catabolic process,biological_process
b2539,GO:0019380,3-phenylpropionate catabolic process,biological_process
b2539,GO:0019439,aromatic compound catabolic process,biological_process
b4388,GO:0006564,L-serine biosynthetic process,biological_process
b4388,GO:0008652,cellular amino acid biosynthetic process,biological_process
b4388,GO:0016311,dephosphorylation,biological_process
b0907,GO:0006563,L-serine metabolic process,biological_process
b0907,GO:0006564,L-serine biosynthetic process,biological_process
b0907,GO:0008615,pyridoxine biosynthetic process,biological_process
b0907,GO:0033359,lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate,biological_process
b0907,GO:0042823,pyridoxal phosphate biosynthetic process,biological_process
b3882,GO:0009407,toxin catabolic process,biological_process
b3882,GO:1902777,6-sulfoquinovose(1-) catabolic process,biological_process
b0911,GO:0006412,translation,biological_process
b0911,GO:2000766,negative regulation of cytoplasmic translation,biological_process
b3321,GO:0006412,translation,biological_process
b3321,GO:0031564,transcription antitermination,biological_process
b3297,GO:0000028,ribosomal small subunit assembly,biological_process
b3297,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
b3297,GO:0006412,translation,biological_process
b3342,GO:0000372,Group I intron splicing,biological_process
b3342,GO:0006412,translation,biological_process
b3342,GO:0033120,positive regulation of RNA splicing,biological_process
b3342,GO:0034337,RNA folding,biological_process
b3342,GO:0046677,response to antibiotic,biological_process
b3298,GO:0006412,translation,biological_process
b3298,GO:0042254,ribosome biogenesis,biological_process
b3307,GO:0006412,"translation,",biological_process
b3165,GO:0006378,mRNA polyadenylation,biological_process
b3165,GO:0006412,translation,biological_process
b3165,GO:0006417,regulation of translation,biological_process
b2609,GO:0000028,ribosomal small subunit assembly,biological_process
b2609,GO:0006259,DNA metabolic process,biological_process
b2609,GO:0006412,translation,biological_process
b3311,GO:0006412,translation,biological_process
b3311,GO:0046677,response to antibiotic,biological_process
b4202,GO:0006412,"translation,",biological_process
b3316,GO:0000028,ribosomal small subunit assembly,biological_process
b3316,GO:0006412,translation,biological_process
b0169,GO:0006412,"translation,",biological_process
b0023,GO:0006412,translation,biological_process
b0023,GO:0043086,negative regulation of catalytic activity,biological_process
b3065,GO:0006412,"translation,",biological_process
b3314,GO:0006412,"translation,",biological_process
b3296,GO:0006353,"DNA-templated transcription, termination",biological_process
b3296,GO:0031564,transcription antitermination,biological_process
b3296,GO:0045903,positive regulation of translational fidelity,biological_process
b3296,GO:0045947,negative regulation of translational initiation,biological_process
b3296,GO:0046677,response to antibiotic,biological_process
b3296,GO:1990145,maintenance of translational fidelity,biological_process
b3303,GO:0046677,response to antibiotic,biological_process
b3303,GO:1990145,maintenance of translational fidelity,biological_process
b4200,GO:0006412,"translation,",biological_process
b3341,GO:0000028,ribosomal small subunit assembly,biological_process
b3341,GO:0006412,translation,biological_process
b3341,GO:0017148,negative regulation of translation,biological_process
b3306,GO:0006412,translation,biological_process
b3306,GO:0006417,regulation of translation,biological_process
b3306,GO:0043488,regulation of mRNA stability,biological_process
b3230,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
b3230,GO:0006412,translation,biological_process
b3167,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3167,GO:0009409,response to cold,biological_process
b3167,GO:0030490,maturation of SSU-rRNA,biological_process
b3475,GO:0006633,fatty acid biosynthetic process,biological_process
b3475,GO:0018070,peptidyl-serine phosphopantetheinylation,biological_process
b3475,GO:0019878,lysine biosynthetic process via aminoadipic acid,biological_process
b3039,GO:0006725,"cellular aromatic compound metabolic process,",biological_process
b3416,GO:0000025,maltose catabolic process,biological_process
b3416,GO:0005977,glycogen metabolic process,biological_process
b2257,GO:0006493,protein O-linked glycosylation,biological_process
b2257,GO:0009103,lipopolysaccharide biosynthetic process,biological_process
b2257,GO:0009245,lipid A biosynthetic process,biological_process
b2257,GO:0010041,response to iron(III) ion,biological_process
b1096,GO:0006532,aspartate biosynthetic process,biological_process
b1096,GO:0009098,leucine biosynthetic process,biological_process
b1096,GO:0009099,valine biosynthetic process,biological_process
b1096,GO:0046654,tetrahydrofolate biosynthetic process,biological_process
b1096,GO:0046656,folic acid biosynthetic process,biological_process
b2662,GO:0009450,gamma-aminobutyric acid catabolic process,biological_process
b2662,GO:0042450,arginine biosynthetic process via ornithine,biological_process
b1302,GO:0009447,putrescine catabolic process,biological_process
b1302,GO:0009448,gamma-aminobutyric acid metabolic process,biological_process
b1302,GO:0009450,gamma-aminobutyric acid catabolic process,biological_process
b1208,GO:0016114,terpenoid biosynthetic process,biological_process
b1208,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b2747,GO:0016114,terpenoid biosynthetic process,biological_process
b2747,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b0029,GO:0016114,terpenoid biosynthetic process,biological_process
b0029,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",biological_process
b0029,GO:0050992,dimethylallyl diphosphate biosynthetic process,biological_process
b0052,GO:0008615,pyridoxine biosynthetic process,biological_process
b0052,GO:0042823,pyridoxal phosphate biosynthetic process,biological_process
b0352,GO:0019380,3-phenylpropionate catabolic process,biological_process
b0352,GO:0019439,aromatic compound catabolic process,biological_process
b1461,GO:0006725,"cellular aromatic compound metabolic process,",biological_process
b3863,GO:0006260,DNA replication,biological_process
b3863,GO:0006261,DNA-dependent DNA replication,biological_process
b3863,GO:0006281,DNA repair,biological_process
b3863,GO:0006284,base-excision repair,biological_process
b3863,GO:0071897,DNA biosynthetic process,biological_process
b3863,GO:0090305,nucleic acid phosphodiester bond hydrolysis,biological_process
b0159,GO:0009164,nucleoside catabolic process,biological_process
b0159,GO:0019284,L-methionine biosynthetic process from S-adenosylmethionine,biological_process
b0159,GO:0019509,L-methionine biosynthetic process from methylthioadenosine,biological_process
b2291,GO:0006226,dUMP biosynthetic process,biological_process
b2291,GO:0010139,pyrimidine deoxyribonucleotide salvage,biological_process
b2291,GO:0016311,dephosphorylation,biological_process
b3941,GO:0006730,one-carbon metabolic process,biological_process
b3941,GO:0009086,methionine biosynthetic process,biological_process
b3941,GO:0035999,tetrahydrofolate interconversion,biological_process
b3941,GO:0046654,tetrahydrofolate biosynthetic process,biological_process
b3941,GO:0051289,protein homotetramerization,biological_process
b0844,GO:0009231,riboflavin biosynthetic process,biological_process
b0844,GO:0016311,dephosphorylation,biological_process
b3812,GO:0009231,riboflavin biosynthetic process,biological_process
b3812,GO:0016311,dephosphorylation,biological_process
b3812,GO:0022611,dormancy process,biological_process
b0369,GO:0006782,protoporphyrinogen IX biosynthetic process,biological_process
b0369,GO:0006783,heme biosynthetic process,biological_process
b0908,GO:0008652,cellular amino acid biosynthetic process,biological_process
b0908,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
b0908,GO:0009423,chorismate biosynthetic process,biological_process
b2912,GO:0009396,folic acid-containing compound biosynthetic process,biological_process
b2912,GO:0022611,dormancy process,biological_process
b2912,GO:0035999,tetrahydrofolate interconversion,biological_process
b4266,GO:0019521,D-gluconate metabolic process,biological_process
b4266,GO:0046183,L-idonate catabolic process,biological_process
b3741,GO:0002098,tRNA wobble uridine modification,biological_process
b3741,GO:0030488,tRNA methylation,biological_process
b4346,GO:0006308,DNA catabolic process,biological_process
b4346,GO:0009307,DNA restriction-modification system,biological_process
b4345,GO:0009307,"DNA restriction-modification system,",biological_process
b3829,GO:0006479,protein methylation,biological_process
b3829,GO:0009086,methionine biosynthetic process,biological_process
b3829,GO:0035999,tetrahydrofolate interconversion,biological_process
b3829,GO:0050667,homocysteine metabolic process,biological_process
b4092,GO:0019700,"organic phosphonate catabolic process,",biological_process
b1128,GO:0030961,peptidyl-arginine hydroxylation,biological_process
b1128,GO:0042254,ribosome biogenesis,biological_process
b1128,GO:0043687,post-translational protein modification,biological_process
b0296,GO:0006412,translation,biological_process
b0296,GO:0034224,cellular response to zinc ion starvation,biological_process
b3984,GO:0000470,maturation of LSU-rRNA,biological_process
b3984,GO:0006412,translation,biological_process
b3984,GO:0045947,negative regulation of translational initiation,biological_process
b3985,GO:0006412,translation,biological_process
b3985,GO:0006417,regulation of translation,biological_process
b3985,GO:0042254,ribosome biogenesis,biological_process
b3983,GO:0000027,ribosomal large subunit assembly,biological_process
b3983,GO:0006415,translational termination,biological_process
b3983,GO:0015968,stringent response,biological_process
b3231,GO:0006412,"translation,",biological_process
b3310,GO:0006412,"translation,",biological_process
b3301,GO:0006412,"translation,",biological_process
b3313,GO:0006412,"translation,",biological_process
b3294,GO:0006412,"translation,",biological_process
b3304,GO:0006412,"translation,",biological_process
b2606,GO:0006412,"translation,",biological_process
b3317,GO:0002181,"cytoplasmic translation,",biological_process
b1716,GO:0000027,ribosomal large subunit assembly,biological_process
b1716,GO:0006412,translation,biological_process
b1716,GO:0017148,negative regulation of translation,biological_process
b3186,GO:0006412,"translation,",biological_process
b3315,GO:0006412,translation,biological_process
b3315,GO:0046677,response to antibiotic,biological_process
b3318,GO:0000027,ribosomal large subunit assembly,biological_process
b3318,GO:0006412,translation,biological_process
b3309,GO:0006412,"translation,",biological_process
b2185,GO:0006412,translation,biological_process
b2185,GO:0017148,negative regulation of translation,biological_process
b3185,GO:0006412,"translation,",biological_process
b3637,GO:0006412,"translation,",biological_process
b3312,GO:0006412,"translation,",biological_process
b3320,GO:0006412,"translation,",biological_process
b3302,GO:0006412,"translation,",biological_process
b3936,GO:0006412,"translation,",biological_process
b1089,GO:0006412,"translation,",biological_process
b3636,GO:0006412,"translation,",biological_process
b3703,GO:0006412,"translation,",biological_process
b1717,GO:0006412,"translation,",biological_process
b3299,GO:0006412,translation,biological_process
b3299,GO:0042254,ribosome biogenesis,biological_process
b3319,GO:0006353,"DNA-templated transcription, termination",biological_process
b3319,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b3319,GO:0006412,translation,biological_process
b3319,GO:0017148,negative regulation of translation,biological_process
b3319,GO:0046677,response to antibiotic,biological_process
b3319,GO:0060702,negative regulation of endoribonuclease activity,biological_process
b3308,GO:0000027,ribosomal large subunit assembly,biological_process
b3308,GO:0006412,translation,biological_process
b3305,GO:0002181,cytoplasmic translation,biological_process
b3305,GO:0046677,response to antibiotic,biological_process
b3986,GO:0006412,"translation,",biological_process
b4203,GO:0006412,"translation,",biological_process
b0947,GO:0009407,"toxin catabolic process,",biological_process
b3910,GO:0009636,"response to toxic substance,",biological_process
b3883,GO:0006014,D-ribose metabolic process,biological_process
b3883,GO:0046835,carbohydrate phosphorylation,biological_process
b3883,GO:1902777,6-sulfoquinovose(1-) catabolic process,biological_process
b3881,GO:1902777,"6-sulfoquinovose(1-) catabolic process,",biological_process
b2901,GO:0005975,carbohydrate metabolic process,biological_process
b2901,GO:0044724,single-organism carbohydrate catabolic process,biological_process
b2901,GO:1901657,glycosyl compound metabolic process,biological_process
b3916,GO:0006002,fructose 6-phosphate metabolic process,biological_process
b3916,GO:0006007,glucose catabolic process,biological_process
b3916,GO:0006096,glycolytic process,biological_process
b3916,GO:0044275,cellular carbohydrate catabolic process,biological_process
b3916,GO:0051289,protein homotetramerization,biological_process
b3916,GO:0061615,glycolytic process through fructose-6-phosphate,biological_process
b1723,GO:0006096,glycolytic process,biological_process
b1723,GO:0006974,cellular response to DNA damage stimulus,biological_process
b1723,GO:0061615,glycolytic process through fructose-6-phosphate,biological_process
b1851,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
b1851,GO:0009255,Entner-Doudoroff pathway through 6-phosphogluconate,biological_process
b2029,GO:0006098,pentose-phosphate shunt,biological_process
b2029,GO:0019521,D-gluconate metabolic process,biological_process
b0767,GO:0006006,glucose metabolic process,biological_process
b0767,GO:0006098,pentose-phosphate shunt,biological_process
b2765,GO:0008616,"queuosine biosynthetic process,",biological_process
b0774,GO:0009102,"biotin biosynthetic process,",biological_process
b3177,GO:0042493,response to drug,biological_process
b3177,GO:0046654,tetrahydrofolate biosynthetic process,biological_process
b3177,GO:0046656,folic acid biosynthetic process,biological_process
b1619,GO:0030573,bile acid catabolic process,biological_process
b1619,GO:0051289,protein homotetramerization,biological_process
b2777,GO:0008616,"queuosine biosynthetic process,",biological_process
b0444,GO:0008616,"queuosine biosynthetic process,",biological_process
b2794,GO:0008616,"queuosine biosynthetic process,",biological_process
b0776,GO:0009102,"biotin biosynthetic process,",biological_process
b4309,GO:0005975,carbohydrate metabolic process,biological_process
b4309,GO:0019752,carboxylic acid metabolic process,biological_process
b1918,GO:0015811,L-cystine transport,biological_process
b1918,GO:0042883,cysteine transport,biological_process
b3195,GO:0015914,"phospholipid transport,",biological_process
b3191,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3191,GO:0015914,phospholipid transport,biological_process
b3191,GO:0046677,response to antibiotic,biological_process
b3194,GO:0015914,"phospholipid transport,",biological_process
b3192,GO:0015914,"phospholipid transport,",biological_process
b3352,GO:0006810,"transport,",biological_process
b0820,GO:0006810,transport,biological_process
b0820,GO:0009409,response to cold,biological_process
b3619,GO:0009244,lipopolysaccharide core region biosynthetic process,biological_process
b3619,GO:0097171,ADP-L-glycero-beta-D-manno-heptose biosynthetic process,biological_process
b3621,GO:0009244,"lipopolysaccharide core region biosynthetic process,",biological_process
b3620,GO:0009244,"lipopolysaccharide core region biosynthetic process,",biological_process
